k,prev_fname,curr_fname,prev_time_ms,curr_time_ms,dt_ms,dt_s,N_matches,des_cx,des_cy,des_perim,des_r23_14,des_rot,des_r12_34,cur_cx,cur_cy,cur_perim,cur_r23_14,cur_rot,cur_r12_34,e_cx,e_cy,e_perim,e_r23_14,e_rot_wrapped,e_r12_34,edot_cx,edot_cy,edot_perim,edot_r23_14,edot_rot,edot_r12_34,edot_cx_smooth,edot_cy_smooth,edot_perim_smooth,edot_r23_14_smooth,edot_rot_smooth,edot_r12_34_smooth
11,img_11.png,img_12.png,2000,2200,200,0.2,5253,0.5349395871162415,0.5561752915382385,1.778834342956543,0.950751006603241,-0.0216653011739254,1.0258591175079346,0.5307518839836121,0.5603283643722534,1.8020973205566406,0.9536993503570557,-0.016039418056607246,1.0185706615447998,-0.0041877031326293945,0.004153072834014893,0.023262977600097656,0.0029483437538146973,0.005625883117318153,-0.007288455963134766,-0.020938515663146973,0.020765364170074463,0.11631488800048828,0.014741718769073486,0.028129415586590767,-0.03644227981567383,-0.0002584732888874725,0.0010253786921156209,0.0965350120938047,0.011309816844141793,0.05317783320450258,-0.015236711272946958
12,img_12.png,img_13.png,2200,2400,200,0.2,5404,0.5314720273017883,0.5702504515647888,1.7614368200302124,0.929902195930481,-0.03447723761200905,1.013945460319519,0.5313891768455505,0.5711075663566589,1.767329216003418,0.9252005815505981,-0.015660570934414864,1.014002799987793,-8.285045623779297e-05,0.0008571147918701172,0.005892395973205566,-0.0047016143798828125,0.018816666677594185,5.733966827392578e-05,-0.00041425228118896484,0.004285573959350586,0.029461979866027832,-0.023508071899414062,0.09408333152532578,0.0002866983413696289,0.005096571928530337,0.0056168298298351176,0.09439577445346878,-0.001113534424177812,0.04475499809561902,-0.018257107103816443
13,img_13.png,img_14.png,2400,2600,200,0.2,4975,0.5207298994064331,0.5672317147254944,1.761303424835205,0.9330880045890808,0.021218111738562584,1.0017262697219849,0.5294226408004761,0.5634517073631287,1.794823408126831,0.932162880897522,0.003259270219132304,0.9994034171104431,0.008692741394042969,-0.0037800073623657227,0.03351998329162598,-0.0009251236915588379,-0.01795884221792221,-0.002322852611541748,0.043463706970214844,-0.018900036811828613,0.16759991645812988,-0.0046256184577941895,-0.08979421108961105,-0.01161426305770874,0.009516310497192674,-0.0005137245028380827,0.09841658514944748,-0.00901982959171152,-0.0022542096993500797,-0.014295770421038839
14,img_14.png,img_15.png,2600,2801,201,0.201,5206,0.5538236498832703,0.5773295760154724,1.7798198461532593,0.9448511004447937,-0.021831942722201347,0.997217059135437,0.545412003993988,0.5759175419807434,1.7903741598129272,0.9456497430801392,-0.021526893600821495,0.989951491355896,-0.008411645889282227,-0.001412034034729004,0.010554313659667969,0.000798642635345459,0.0003050491213798523,-0.007265567779541016,-0.041848983615636826,-0.0070250448770821095,0.05250902101397514,0.0039733462035655975,0.0015176573069766164,-0.0361471027135849,0.009535486584196689,-0.005620528048322786,0.11370269376544306,-0.005285577216112155,-0.030566637810292768,-0.007798783770338857
15,img_15.png,img_16.png,2801,3000,199,0.199,4144,0.5392932295799255,0.5696938037872314,1.7333528995513916,0.9527189135551453,-0.024754317477345467,0.9972052574157715,0.5515502691268921,0.5724619626998901,1.766789436340332,0.9517709612846375,-0.023041654378175735,1.004140853881836,0.012257039546966553,0.0027681589126586914,0.03343653678894043,-0.0009479522705078125,0.0017126630991697311,0.006935596466064453,0.06159316375851631,0.013910346664488316,0.16802279651165009,-0.004763578996062279,0.008606347255408764,0.03485224395990372,0.006326544501301606,-0.0061073488545482476,0.13115836003093126,0.0029724969752483957,-0.0225505243199726,-0.004823865395455372
16,img_16.png,img_17.png,3000,3200,200,0.2,5030,0.553625762462616,0.5693902969360352,1.7750507593154907,0.9819872975349426,-0.0047965263947844505,1.053963541984558,0.54624342918396,0.5659303665161133,1.8046611547470093,0.9836352467536926,-0.01562892086803913,1.0469666719436646,-0.007382333278656006,-0.003459930419921875,0.029610395431518555,0.00164794921875,-0.01083239447325468,-0.006996870040893555,-0.03691166639328003,-0.017299652099609375,0.14805197715759277,0.00823974609375,-0.05416197329759598,-0.03498435020446777,0.002830252065770004,-0.00526820470324376,0.14227878870197191,0.00616265929120426,0.0014177234738124646,-0.008928944651932115
17,img_17.png,img_18.png,3200,3400,200,0.2,5350,0.5388960242271423,0.575657308101654,1.7415810823440552,0.9554765224456787,-0.030257446691393852,1.0049986839294434,0.5377129912376404,0.5753418803215027,1.7695480585098267,0.9568190574645996,-0.01577705889940262,1.0021989345550537,-0.0011830329895019531,-0.0003154277801513672,0.027966976165771484,0.0013425350189208984,0.014480387791991234,-0.0027997493743896484,-0.005915164947509766,-0.001577138900756836,0.13983488082885742,0.006712675094604492,0.07240194082260132,-0.013998746871948242,-0.0011007765269230394,-0.00278399367648764,0.1509152232488812,0.0006539101738628667,0.015432739249871336,-0.01795483144417086
18,img_18.png,img_19.png,3400,3600,200,0.2,4893,0.5297389030456543,0.5776824355125427,1.7740072011947632,0.8992184996604919,0.021363459527492523,1.0568739175796509,0.5396311283111572,0.5771492123603821,1.7981098890304565,0.895479679107666,0.013716335408389568,1.0532584190368652,0.00989222526550293,-0.0005332231521606445,0.02410268783569336,-0.0037388205528259277,-0.007647124119102955,-0.0036154985427856445,0.04946112632751465,-0.0026661157608032227,0.1205134391784668,-0.01869410276412964,-0.0382356196641922,-0.018077492713928223,-0.00851330384824888,0.0026817600548134832,0.16345997122228695,-0.00964071970371933,0.007116872053159391,-0.027458557274763196
19,img_19.png,img_20.png,3600,3801,201,0.201,3628,0.5440101027488708,0.5738362669944763,1.7606232166290283,0.9331835508346558,0.004039473365992308,1.0331075191497803,0.5240628719329834,0.5764932632446289,1.8127036094665527,0.9317372441291809,0.009291216731071472,1.0230871438980103,-0.01994723081588745,0.002656996250152588,0.052080392837524414,-0.0014463067054748535,0.0052517433650791645,-0.01002037525177002,-0.09923995286226273,0.013218886218965054,0.25910642743110657,-0.007195555604994297,0.026128076016902924,-0.04985261335968971,-0.018500752369759788,0.0072363570111213605,0.17443700090927844,-0.016249876364817752,-0.015842782018422912,-0.03527571807542184
20,img_20.png,img_21.png,3801,4000,199,0.199,5196,0.5280985236167908,0.5619536638259888,1.7642751932144165,0.8391790390014648,-0.041458193212747574,1.018554449081421,0.5364905595779419,0.5648193359375,1.7881170511245728,0.8348434567451477,-0.051026131957769394,1.0132912397384644,0.008392035961151123,0.0028656721115112305,0.02384185791015625,-0.004335582256317139,-0.00956793874502182,-0.005263209342956543,0.04217103496193886,0.01440036203712225,0.11980833113193512,-0.021786846220493317,-0.048080094158649445,-0.026448288932442665,-0.02530022435265571,0.006387188627803612,0.1768357825679704,-0.012758254920196221,-0.030768174512256417,-0.04106250029317428
21,img_21.png,img_22.png,4000,4200,200,0.2,4120,0.5499225854873657,0.5830420851707458,1.7842895984649658,0.9210729598999023,-0.0009097891743294895,1.032834768295288,0.5366208553314209,0.5804471969604492,1.8195856809616089,0.9216203093528748,-0.015541700646281242,1.0221002101898193,-0.013301730155944824,-0.002594888210296631,0.035296082496643066,0.0005473494529724121,-0.014631911180913448,-0.01073455810546875,-0.06650865077972412,-0.012974441051483154,0.17648041248321533,0.0027367472648620605,-0.07315955311059952,-0.05367279052734375,-0.02578920947233086,0.0024050321947349336,0.1761907581645461,-0.0014798184264525364,-0.02278541505475202,-0.04437240818526064
22,img_22.png,img_23.png,4200,4400,200,0.2,5142,0.5437013506889343,0.5635528564453125,1.7349066734313965,0.933119535446167,-0.032296743243932724,0.9973929524421692,0.5418524742126465,0.5655580163002014,1.7768808603286743,0.9314064979553223,-0.015204526484012604,0.9891014695167542,-0.0018488764762878418,0.002005159854888916,0.04197418689727783,-0.0017130374908447266,0.01709221675992012,-0.008291482925415039,-0.009244382381439209,0.01002579927444458,0.20987093448638916,-0.008565187454223633,0.0854610800743103,-0.041457414627075195,-0.022101016937560333,0.0011849835234175683,0.18051488467047352,0.005878530105265633,-0.0035712391137659484,-0.044724018742349075
23,img_23.png,img_24.png,4400,4600,200,0.2,5788,0.5427091121673584,0.547947883605957,1.7644516229629517,0.990729570388794,-0.022179437801241875,1.0407958030700684,0.5416330695152283,0.547795295715332,1.796112298965454,0.9978066682815552,-0.036628805100917816,1.0315510034561157,-0.001076042652130127,-0.000152587890625,0.03166067600250244,0.0070770978927612305,-0.014449367299675941,-0.009244799613952637,-0.005380213260650635,-0.000762939453125,0.1583033800125122,0.03538548946380615,-0.07224683463573456,-0.046223998069763184,-0.01847654755160335,0.0036574093066978845,0.1886321369019459,-0.0006167114813278699,0.0035947367948369765,-0.04329180692471554
24,img_24.png,img_25.png,4600,4801,201,0.201,5286,0.544032633304596,0.5543931722640991,1.784149408340454,0.9530976414680481,-0.02962307631969452,1.014064908027649,0.5322516560554504,0.5550903081893921,1.8271689414978027,0.9470152258872986,-0.015995411202311516,1.0058335065841675,-0.011780977249145508,0.0006971359252929688,0.04301953315734863,-0.006082415580749512,0.013627665117383003,-0.008231401443481445,-0.05861182510852814,0.0034683379344642162,0.2140275239944458,-0.03026077337563038,0.06779932975769043,-0.04095224663615227,-0.018487012674644233,0.004870280324450162,0.194144723377629,-0.01472260537860211,-0.005489398262734437,-0.04290280918622623
25,img_25.png,img_26.png,4801,5000,199,0.199,4501,0.5309500694274902,0.5636846423149109,1.7649009227752686,0.9842994213104248,-0.045137401670217514,0.9689504504203796,0.5405951142311096,0.5673091411590576,1.8002476692199707,0.9728521108627319,-0.06203420087695122,0.962067186832428,0.009645044803619385,0.0036244988441467285,0.03534674644470215,-0.011447310447692871,-0.016896799206733704,-0.00688326358795166,0.04846756160259247,0.018213562667369843,0.17762184143066406,-0.057524174451828,-0.08490853756666183,-0.034589264541864395,-0.02171340184598598,0.001588584572766087,0.19171844167249755,-0.019992156916397677,-0.013824983407947286,-0.04460142707668349
26,img_26.png,img_27.png,5000,5200,200,0.2,4566,0.5548195838928223,0.5603543519973755,1.7977055311203003,0.9356591701507568,-0.0517498143017292,0.9997429847717285,0.5340838432312012,0.5554758310317993,1.8380597829818726,0.9432748556137085,-0.049050286412239075,0.98555988073349,-0.020735740661621094,-0.004878520965576172,0.040354251861572266,0.00761568546295166,0.0026995278894901276,-0.014183104038238525,-0.10367870330810547,-0.02439260482788086,0.20177125930786133,0.0380784273147583,0.013497639447450638,-0.07091552019119263,-0.022821549673883286,-0.0025853802301389855,0.18155012750496718,-0.012167194170776743,-0.00980501524754457,-0.046248657414283634
27,img_27.png,img_28.png,5200,5400,200,0.2,6083,0.5190120339393616,0.5360020399093628,1.7761000394821167,1.0098763704299927,-0.028960224241018295,1.0656664371490479,0.526222825050354,0.5372273325920105,1.8071261644363403,1.0056687593460083,-0.022915128618478775,1.0615487098693848,0.007210791110992432,0.001225292682647705,0.031026124954223633,-0.004207611083984375,0.00604509562253952,-0.004117727279663086,0.03605395555496216,0.006126463413238525,0.15513062477111816,-0.021038055419921875,0.0302254781126976,-0.02058863639831543,-0.01833390555835467,-0.002450857721422726,0.17205475636973944,-0.00188631823776395,-0.0016599883355003881,-0.04595705757543127
28,img_28.png,img_29.png,5400,5600,200,0.2,5339,0.5407204031944275,0.5626917481422424,1.774533748626709,1.0171939134597778,-0.03414790332317352,1.0205371379852295,0.5355671644210815,0.5625206232070923,1.8095344305038452,1.0177069902420044,-0.04607047140598297,1.0098124742507935,-0.005153238773345947,-0.00017112493515014648,0.03500068187713623,0.0005130767822265625,-0.011922568082809448,-0.010724663734436035,-0.025766193866729736,-0.0008556246757507324,0.17500340938568115,0.0025653839111328125,-0.05961284041404724,-0.053623318672180176,-0.012416050854979694,0.0011836619355990628,0.17256490434980326,0.0038892651246953,-0.0016883370818446602,-0.04367794345589324
29,img_29.png,img_30.png,5600,5801,201,0.201,5730,0.5431141257286072,0.532338559627533,1.7835466861724854,0.9862838387489319,-0.036694176495075226,0.9785405993461609,0.5364952087402344,0.5357868075370789,1.8169819116592407,0.9877672791481018,-0.02114741876721382,0.968992292881012,-0.006618916988372803,0.0034482479095458984,0.03343522548675537,0.0014834403991699219,0.015546757727861404,-0.009548306465148926,-0.032929934561252594,0.017155461013317108,0.16634440422058105,0.00738030020147562,0.0773470550775528,-0.047504011541604996,-0.011172812310585933,0.004225005822968219,0.18205958773922054,0.007271998839642497,-0.007427547979703663,-0.03964226099880202
30,img_30.png,img_31.png,5801,6000,199,0.199,5176,0.5222468972206116,0.5387622117996216,1.7790416479110718,0.9970686435699463,-0.03288975730538368,0.9774720668792725,0.530315637588501,0.5361127853393555,1.8275970220565796,0.9979735016822815,-0.05545185133814812,0.973482608795166,0.008068740367889404,-0.0026494264602661133,0.04855537414550781,0.0009048581123352051,-0.022562094032764435,-0.003989458084106445,0.04054643213748932,-0.013313700444996357,0.24399685859680176,0.004547025542706251,-0.11337735503911972,-0.02004752866923809,-0.013936319544613654,0.006426667549743536,0.1936673762153414,0.00925249691021181,-0.007531066363680208,-0.035524737311073244
31,img_31.png,img_32.png,6000,6200,200,0.2,4960,0.5508807897567749,0.5525447726249695,1.7966084480285645,0.9889203906059265,-0.024687509983778,0.9842451810836792,0.5337151288986206,0.5567089319229126,1.8317400217056274,0.9941979646682739,-0.01089808065444231,0.9731252789497375,-0.017165660858154297,0.004164159297943115,0.03513157367706299,0.005277574062347412,0.01378942932933569,-0.01111990213394165,-0.08582830429077148,0.020820796489715576,0.17565786838531494,0.02638787031173706,0.06894714385271072,-0.05559951066970825,-0.013714288613588253,0.009644049735419814,0.2086756033182975,0.008046571414449283,-0.0017270194832822159,-0.035362346423241375
32,img_32.png,img_33.png,6200,6400,200,0.2,5502,0.5121330618858337,0.5517144799232483,1.8177807331085205,0.952980101108551,-0.012179744429886341,0.9878386855125427,0.5236213207244873,0.5536956787109375,1.8538390398025513,0.9507547616958618,-0.013093519024550915,0.9855140447616577,0.011488258838653564,0.001981198787689209,0.03605830669403076,-0.002225339412689209,-0.0009137745946645737,-0.0023246407508850098,0.05744129419326782,0.009905993938446045,0.1802915334701538,-0.011126697063446045,-0.004568872973322868,-0.011623203754425049,-0.006211114402553314,0.012218618578517887,0.22854579942174047,0.006316512667609894,-0.0024626518321756606,-0.04073242782697494
33,img_33.png,img_34.png,6400,6600,200,0.2,4953,0.5372905135154724,0.5335688591003418,1.7763890027999878,0.9841428399085999,0.0002887433220166713,0.9589274525642395,0.5275384783744812,0.5355331301689148,1.8399595022201538,0.9868068099021912,-0.009769143536686897,0.9452065825462341,-0.009752035140991211,0.001964271068572998,0.06357049942016602,0.0026639699935913086,-0.010057887062430382,-0.013720870018005371,-0.048760175704956055,0.00982135534286499,0.3178524971008301,0.013319849967956543,-0.05028943344950676,-0.06860435009002686,0.003241425440835047,0.01099708672209224,0.2374960823282622,0.01049287465997636,-0.014607441726107331,-0.04692038857334334
34,img_34.png,img_35.png,6600,6801,201,0.201,5001,0.4974192678928375,0.5479459762573242,1.711105465888977,0.9799605011940002,-0.015229507349431515,0.921056866645813,0.50652015209198,0.5515648722648621,1.7533682584762573,0.9852316975593567,-0.010609684512019157,0.9093058109283447,0.009100884199142456,0.003618896007537842,0.04226279258728027,0.005271196365356445,0.004619822837412357,-0.011751055717468262,0.04527803137898445,0.018004456534981728,0.21026264131069183,0.026224857196211815,0.02298419177532196,-0.0584629625082016,0.005451012922856484,0.00750954982590494,0.22194645162930193,0.021989074892898804,-0.027049526216555538,-0.04899596747892992
35,img_35.png,img_36.png,6801,7000,199,0.199,5581,0.5056620836257935,0.5555336475372314,1.7674001455307007,1.066743016242981,-0.01724274270236492,0.9593509435653687,0.5056166052818298,0.5536532402038574,1.800323486328125,1.0723211765289307,-0.036780957132577896,0.9553294777870178,-4.547834396362305e-05,-0.0018804073333740234,0.032923340797424316,0.005578160285949707,-0.019538214430212975,-0.00402146577835083,-0.0002285343944095075,-0.00944928266108036,0.16544392704963684,0.02803095616400242,-0.09818197786808014,-0.020208369940519333,-0.0003248423690692312,0.0076594931530058865,0.2008915462821142,0.03435425973553896,-0.028222408177446815,-0.04948434970212264
36,img_36.png,img_37.png,7000,7200,200,0.2,4418,0.523995578289032,0.557210385799408,1.7588900327682495,1.0750973224639893,-0.04130462929606438,0.9699482321739197,0.5117642879486084,0.5618442893028259,1.8005363941192627,1.0849515199661255,-0.029773999005556107,0.9555783867835999,-0.012231290340423584,0.004633903503417969,0.041646361351013184,0.00985419750213623,0.01153063029050827,-0.014369845390319824,-0.06115645170211792,0.023169517517089844,0.20823180675506592,0.04927098751068115,0.05765315145254135,-0.07184922695159912,-0.005699738480860472,0.013542756413283431,0.20461586814484023,0.03996682722746648,-0.01869981106413205,-0.05307816282898677
37,img_37.png,img_38.png,7200,7400,200,0.2,4167,0.48398128151893616,0.5825001001358032,1.730705976486206,1.0248231887817383,-0.042447030544281006,0.967156171798706,0.5003657341003418,0.5838763117790222,1.7783452272415161,1.0317738056182861,-0.053699564188718796,0.9573031067848206,0.01638445258140564,0.0013762116432189941,0.04763925075531006,0.0069506168365478516,-0.01125253364443779,-0.009853065013885498,0.0819222629070282,0.006881058216094971,0.2381962537765503,0.03475308418273926,-0.05626266822218895,-0.04926532506942749,-0.004451177395759202,0.01831769495812019,0.2320434164856558,0.03676194667065283,-0.0064996836670660205,-0.05762739308946124
38,img_38.png,img_39.png,7400,7600,200,0.2,4473,0.5230801701545715,0.5441662669181824,1.790230393409729,1.0142865180969238,-0.025401270017027855,1.0119565725326538,0.5071802139282227,0.5529439449310303,1.8486534357070923,1.016515851020813,-0.02563689649105072,0.9969168901443481,-0.015899956226348877,0.0087776780128479,0.05842304229736328,0.00222933292388916,-0.0002356264740228653,-0.015039682388305664,-0.07949978113174438,0.0438883900642395,0.2921152114868164,0.0111466646194458,-0.0011781323701143265,-0.07519841194152832,0.0027952618402647057,0.014099411398242476,0.25553510791195216,0.028011785867295524,0.0005360422702841148,-0.05910756166605514
39,img_39.png,img_40.png,7600,7801,201,0.201,3612,0.47337520122528076,0.5936323404312134,1.7624874114990234,1.0117521286010742,-0.03950410336256027,0.9747931361198425,0.4879397749900818,0.5879651308059692,1.80031156539917,1.0227969884872437,-0.02998758852481842,0.9650797843933105,0.014564573764801025,-0.005667209625244141,0.037824153900146484,0.011044859886169434,0.009516514837741852,-0.009713351726531982,0.07246056199073792,-0.02819507196545601,0.1881798654794693,0.054949551820755005,0.0473458431661129,-0.048325132578611374,0.012559196033414544,0.0038491847435012973,0.2558431960223998,0.018485095220783437,-0.0028877073942076255,-0.060447506321353005
40,img_40.png,img_41.png,7801,8000,199,0.199,3631,0.5137410759925842,0.595731258392334,1.710349202156067,1.0319768190383911,-0.02413705736398697,0.9627348184585571,0.5093900561332703,0.5990493297576904,1.7679516077041626,1.0256869792938232,-0.04127548635005951,0.9527577757835388,-0.004351019859313965,0.0033180713653564453,0.0576024055480957,-0.006289839744567871,-0.01713842898607254,-0.00997704267501831,-0.021864421665668488,0.016673725098371506,0.28945931792259216,-0.03160723298788071,-0.08612275868654251,-0.05013589188456535,0.019628750448279664,-0.0007889339814380416,0.2349850913764705,0.01245595812022667,-0.01491083406653862,-0.06543293554512508
41,img_41.png,img_42.png,8000,8200,200,0.2,4570,0.48880329728126526,0.5665280818939209,1.6939609050750732,0.9686015844345093,0.0017706268699839711,0.9525139331817627,0.4973584711551666,0.5668280720710754,1.7381529808044434,0.9772721529006958,0.01301522646099329,0.9339079856872559,0.008555173873901367,0.000299990177154541,0.04419207572937012,0.008670568466186523,0.01124459970742464,-0.018605947494506836,0.042775869369506836,0.001499950885772705,0.22096037864685059,0.04335284233093262,0.05622299760580063,-0.09302973747253418,0.019699656794252774,0.005907088825697261,0.20947850044076535,0.012351584900358698,-0.023943681819817673,-0.06803348927188779
42,img_42.png,img_43.png,8200,8400,200,0.2,4619,0.4710678160190582,0.5808063745498657,1.7377960681915283,1.0008567571640015,0.014504572376608849,0.9734901189804077,0.4792807698249817,0.5785366892814636,1.7596983909606934,1.0039145946502686,-0.005790767725557089,0.9641075730323792,0.008212953805923462,-0.0022696852684020996,0.02190232276916504,0.00305783748626709,-0.020295340567827225,-0.009382545948028564,0.04106476902961731,-0.011348426342010498,0.1095116138458252,0.01528918743133545,-0.10147669911384583,-0.04691272974014282,0.016929880393774667,0.015690251905969156,0.19876392923145234,0.018001598272188005,-0.01888328350937482,-0.06014410441235303
43,img_43.png,img_44.png,8400,8600,200,0.2,3876,0.5207253098487854,0.5644879937171936,1.699737548828125,0.9946597218513489,-0.051728107035160065,1.017957091331482,0.5086239576339722,0.5818563103675842,1.7630575895309448,0.9955773949623108,-0.042337942868471146,1.0019255876541138,-0.012101352214813232,0.017368316650390625,0.06332004070281982,0.0009176731109619141,0.009390164166688919,-0.016031503677368164,-0.06050676107406616,0.08684158325195312,0.3166002035140991,0.00458836555480957,0.046950820833444595,-0.08015751838684082,0.02111080605776482,0.0162163940310516,0.2067541841742006,0.027620622108179223,-0.0031988158334439404,-0.05022632149187764
